country,year,gov_exp,date,trade,growth,inf,inv_share,exp,_merge,code,income_cat
Bosnia and Herzegovina,1990,,1990-01-01,,,,,,both,BIH,
Brazil,1990,,1990-01-01,15.1555990810218,-4.35000000000022,2947.732772483,,,both,BRA,UM
Bulgaria,1990,,1990-01-01,69.847060845197,-9.11737709565379,23.8000000000003,19.0960242869669,53.5154855851211,both,BGR,LM
Burkina Faso,1990,18.42248137,1990-01-01,35.4226504401749,-0.602928477580988,-0.504303388918912,9.69948226759376,,both,BFA,L
Burundi,1990,,1990-01-01,35.6481395516768,3.49982213611253,7.00216956651122,,,both,BDI,L
Cabo Verde,1990,,1990-01-01,85.9515840306445,0.692171874476983,10.6535057862491,,,both,CPV,LM
Cambodia,1990,,1990-01-01,,1.16231184838939,,,,both,KHM,L
Canada,1990,48.80459976,1990-01-01,49.9944644220497,0.2029478627489,4.78047693336304,,24.1003248018335,both,CAN,H
Central African Republic,1990,22.00840908,1990-01-01,42.9429835183745,-2.14752806574087,-0.0123304562272102,,,both,CAF,L
Chad,1990,,1990-01-01,41.3870234428165,-4.17847237277677,-0.738282265310941,,,both,TCD,L
Chile,1990,18.95000076,1990-01-01,61.7456905156426,3.3335654744462,26.0364811362365,,16.8206083004279,both,CHL,LM
China,1990,18.20705488,1990-01-01,24.2731321082342,3.9202513677681,3.05229012075233,,,both,CHN,L
Colombia,1990,9.399999619,1990-01-01,34.7778103803081,4.28199833053058,29.1520245976215,,,both,COL,LM
Comoros,1990,20.27761236,1990-01-01,35.7570317175344,5.09123641339696,,,,both,COM,L
"Congo, Dem. Rep.",1990,,1990-01-01,,-6.56831069464246,81.295404814004,,14.9290171114038,both,COD,L
"Congo, Rep.",1990,30.43708631,1990-01-01,70.8193543307087,1.00000356627487,2.88905374216947,14.5275590551181,,both,COG,LM
Costa Rica,1990,25.60960007,1990-01-01,75.2851641940228,3.55306336572285,19.0397526635649,,24.2498822315247,both,CRI,LM
Croatia,1990,,1990-01-01,,,500.000000000001,,,both,HRV,
Cyprus,1990,,1990-01-01,108.608208716902,7.40399951139521,4.50205462895843,,50.4016366456296,both,CYP,H
Czechia,1990,,1990-01-01,63.0512785845125,,,,,both,CZE,
Cote d'Ivoire,1990,,1990-01-01,58.8014956103209,-1.09590841238308,-0.805879698278037,4.91799153771647,,both,,
Denmark,1990,55.41090012,1990-01-01,67.3045794419521,1.66026773673742,2.64160306382,,37.0118667697654,both,DNK,H
Djibouti,1990,30.18806553,1990-01-01,,,,,,both,DJI,LM
Dominica,1990,31.48032075,1990-01-01,,5.4179835114688,3.19092323226821,,,both,DMA,LM
Dominican Republic,1990,9.097189903,1990-01-01,69.1984136752272,-5.45431239511258,50.4624792378524,,6.89608786277386,both,DOM,LM
Ecuador,1990,,1990-01-01,44.5949122940278,3.67991405308877,48.5191129963729,9.15256365278484,,both,ECU,LM
El Salvador,1990,15.87739801,1990-01-01,49.6156277783176,4.83290057793786,23.9991651130861,11.125800258791,,both,SLV,LM
Equatorial Guinea,1990,212.9313225,1990-01-01,,-1.75856408496443,0.857871551124735,,,both,GNQ,L
Estonia,1990,,1990-01-01,,,,,,both,EST,
Eswatini,1990,17.70573558,1990-01-01,,21.0180005361395,13.0922899124981,,,both,SWZ,LM
Ethiopia,1990,20.85872374,1990-01-01,,2.72645178272658,5.15248124174767,,15.6936822022222,both,ETH,L
Fiji,1990,,1990-01-01,129.5,5.80000272386,8.19137132040974,9.24747474747475,23.9565656565657,both,FJI,LM
Finland,1990,47.88,1990-01-01,45.8390132360055,0.691650079475309,6.1495653117985,,28.1537832267356,both,FIN,H
France,1990,49.58349991,1990-01-01,44.5862869486888,2.82962716079211,3.19428338029475,,39.3062188568094,both,FRA,H
Gabon,1990,22.59269934,1990-01-01,76.8974453905961,5.19223727652398,7.72532188841208,17.5799086757991,,both,GAB,UM
Georgia,1990,,1990-01-01,85.5271949752773,-14.788785046729,,,,both,GEO,
Germany,1990,44.72980118,1990-01-01,45.6889546847935,5.2550061182715,2.69646824292392,,24.5955746089283,both,DEU,H
Ghana,1990,7.096366167,1990-01-01,42.7281781307805,3.32881788321653,37.2590664855671,6.92110698144671,,both,GHA,L
Greece,1990,37.9682966,1990-01-01,39.0357306279462,0.0,20.433499109463,,42.8867730557478,both,GRC,UM
Grenada,1990,28.97305792,1990-01-01,,4.01261191599704,2.72423736530525,,,both,GRD,LM
