,country,year,gov_exp,date,trade,growth,inf,inv_share,_merge,code,income_cat,balanced
1435,Guatemala,1999,14.58160386,1999-01-01,46.3605068544295,3.8470621889051,5.2136105860112,12.7791414058575,both,GTM,LM,False
1436,Guinea,1999,11.62177864,1999-01-01,32.6958994059117,3.81200403347202,,9.60170585680318,both,GIN,L,False
1438,Guyana,1999,17.61906825,1999-01-01,201.05931477536,2.96015180311224,7.53821939851393,13.4469903490493,both,GUY,LM,False
1441,"Hong Kong SAR, China",1999,17.07697219,1999-01-01,220.272313145342,2.50668581771569,-4.00943396226445,20.3631412205489,both,HKG,H,True
1455,"Korea, Rep.",1999,16.73582821,1999-01-01,59.7627537606539,11.4669424267425,0.81295725444637,24.7377560008995,both,KOR,UM,True
1459,Lebanon,1999,35.56400826,1999-01-01,50.8141707661214,-0.525584634783087,,19.5400983869123,both,LBN,UM,True
1462,Madagascar,1999,15.47755458,1999-01-01,40.9244120208063,4.69922703680521,9.92953399348781,6.28212225437072,both,MDG,L,True
1463,Malaysia,1999,24.64252134,1999-01-01,217.570919391949,6.13761201057692,2.74456130240604,10.4317670997859,both,MYS,UM,True
1466,Mexico,1999,20.13694673,1999-01-01,48.0122495761105,2.75503039300564,16.5856169707538,18.6245645008075,both,MEX,UM,True
1468,Moldova,1999,33.01856243,1999-01-01,117.527935193889,-3.36825447657218,39.2559806891746,14.6166628008123,both,MDA,L,False
1469,Mongolia,1999,33.20208326,1999-01-01,112.241338547745,3.07036901086266,7.56494150307371,28.1103944894118,both,MNG,L,False
1477,Niger,1999,14.9635748,1999-01-01,31.3752367245391,-0.2195625179166,-2.30212503849648,6.07622580095804,both,NER,L,False
1482,Pakistan,1999,13.23604045,1999-01-01,32.3199628094266,3.66013273943236,4.14263718082171,11.8148475741217,both,PAK,L,True
1488,Poland,1999,42.47596438,1999-01-01,53.8980187624686,4.69918479192557,7.15407291179862,21.2877931663928,both,POL,UM,False
1491,Romania,1999,35.11330324,1999-01-01,57.9736750449875,-0.376660705758994,45.8037811326363,16.4083257749463,both,ROU,LM,False
1492,Russian Federation,1999,34.28674332,1999-01-01,69.393281498812,6.39991469144101,85.7464940960636,12.5552059629707,both,RUS,LM,False
1497,Saudi Arabia,1999,30.31478794,1999-01-01,57.8460488194196,-0.63340123682255,-1.33376350229422,17.3534353826189,both,SAU,UM,False
1498,Senegal,1999,14.62399695,1999-01-01,49.4852621662422,6.28330825030987,0.827250608272509,13.1319767762584,both,SEN,L,False
1499,Seychelles,1999,56.12604226,1999-01-01,88.3643279187233,1.87200510893879,6.34730538922156,28.4411823251752,both,SYC,UM,True
1503,South Africa,1999,26.66889954,1999-01-01,42.2582960172673,2.39999999746338,5.18149279747878,12.142178244957,both,ZAF,UM,True
1505,Sri Lanka,1999,20.5099045,1999-01-01,78.7514783496374,4.30054049813373,4.69170563048438,24.0982745354049,both,LKA,LM,False
1506,Sudan,1999,8.395855651,1999-01-01,24.7143682332999,3.10409561549652,17.1664454201761,9.151551533566,both,SDN,L,False
1510,Tajikistan,1999,17.54000343,1999-01-01,133.60594795539,3.69955071665851,,0.0,both,TJK,L,False
1511,Tanzania,1999,12.76056733,1999-01-01,25.0220548113162,4.86386375362282,7.89043336058877,4.84943711032904,both,TZA,L,False
1512,Thailand,1999,17.96360016,1999-01-01,100.706288704433,4.57230775115542,0.284726459223034,11.2814536477943,both,THA,LM,True
1515,Tunisia,1999,24.00948904,1999-01-01,77.9051139411665,6.05463447898158,2.6901248581158,20.3936683838065,both,TUN,LM,False
1517,Uganda,1999,14.71203301,1999-01-01,36.0247101570245,8.05394837724197,5.77736898687895,13.8421432680187,both,UGA,L,False
1518,Ukraine,1999,25.84889829,1999-01-01,101.951706965548,-0.200000000106499,22.6836718061345,15.991015777127,both,UKR,L,False
1522,Uruguay,1999,27.22185858,1999-01-01,33.3864489469027,-1.52094591992036,5.65868803927908,11.6627973646193,both,URY,UM,False
1523,Uzbekistan,1999,33.6417434,1999-01-01,36.6188588125863,4.30000000179396,,18.6747061531668,both,UZB,L,False
1525,"Venezuela, RB",1999,26.10464224,1999-01-01,42.0702304843238,-5.97045814641,,16.0135008071501,both,VEN,UM,False
1527,"Yemen, Rep.",1999,28.24835253,1999-01-01,72.0039277408966,3.77553049612634,8.66021949364346,14.0934582895255,both,YEM,L,False
1536,Australia,2000,35.63301468,2000-01-01,40.9352109785505,3.9215029305806,4.45743514797224,22.930128539825,both,AUS,H,True
1538,Azerbaijan,2000,18.23970656,2000-01-01,78.5485682796041,11.0999991434346,1.80500303704356,20.1142514995443,both,AZE,L,False
1540,Bahrain,2000,23.09493903,2000-01-01,135.809135327865,5.30007005600885,-0.70485295309079,12.5852126832274,both,BHR,UM,False
1541,Bangladesh,2000,9.755794688,2000-01-01,29.3217143619038,5.29329471892532,2.20825620937535,17.2568392057605,both,BGD,L,True
1545,Benin,2000,15.64145423,2000-01-01,47.3481515012844,5.85771420543269,4.16540442290284,12.9681763300194,both,BEN,L,True
1546,Bhutan,2000,46.23306832,2000-01-01,74.0264971104432,3.35506838620374,4.01212081070342,35.9766757227905,both,BTN,L,False
1559,China,2000,16.26820517,2000-01-01,39.4110338950468,8.49009340597647,0.347811226864587,29.6936760955976,both,CHN,LM,False
1562,"Congo, Dem. Rep.",2000,2.489422086,2000-01-01,27.0144029227569,-6.91092731652101,513.906843747535,12.0190556005408,both,COD,L,False
1563,"Congo, Rep.",2000,22.64482237,2000-01-01,123.909884405671,7.5759803952642,-0.881991517025431,13.958560523446,both,COG,L,False
